Disease,New_Symptom_1,Symptom_1,Symptom_2,New_Symptom_2,New_Symptom_3,Symptom_3,Symptom_4,New_Symptom_4,Symptom_5,New_Symptom_5,Symptom_6,New_Symptom_6,Symptom_7,New_Symptom_7,Symptom_8,New_Symptom_8,Symptom_9,New_Symptom_9,Symptom_10,New_Symptom_10,Symptom_11,New_Symptom_11,Symptom_12,New_Symptom_12,Symptom_13,New_Symptom_13,Symptom_14,New_Symptom_14,Symptom_15,New_Symptom_15,Symptom_16,New_Symptom_16,Symptom_17
Fungal infection,itching,itching,skin_rash,skin rash,nodal skin eruptions,nodal_skin_eruptions,dischromic _patches,dischromic  patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,skin rash,skin_rash,nodal_skin_eruptions,nodal skin eruptions,dischromic  patches,dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,itching,nodal_skin_eruptions,nodal skin eruptions,dischromic  patches,dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,itching,skin_rash,skin rash,dischromic  patches,dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,itching,skin_rash,skin rash,nodal skin eruptions,nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,skin rash,skin_rash,nodal_skin_eruptions,nodal skin eruptions,dischromic  patches,dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,itching,nodal_skin_eruptions,nodal skin eruptions,dischromic  patches,dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,itching,skin_rash,skin rash,dischromic  patches,dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,itching,skin_rash,skin rash,nodal skin eruptions,nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,itching,skin_rash,skin rash,nodal skin eruptions,nodal_skin_eruptions,dischromic _patches,dischromic  patches,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,continuous_sneezing,shivering,shivering,chills,chills,watering_from_eyes,watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,shivering,shivering,chills,chills,watering from eyes,watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,continuous_sneezing,chills,chills,watering from eyes,watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,continuous_sneezing,shivering,shivering,watering from eyes,watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,continuous_sneezing,shivering,shivering,chills,chills,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,shivering,shivering,chills,chills,watering from eyes,watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,continuous_sneezing,chills,chills,watering from eyes,watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,continuous_sneezing,shivering,shivering,watering from eyes,watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,continuous_sneezing,shivering,shivering,chills,chills,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,continuous_sneezing,shivering,shivering,chills,chills,watering_from_eyes,watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,stomach_pain,acidity,acidity,ulcers on tongue,ulcers_on_tongue,vomiting,vomiting,cough,cough,chest_pain,chest pain,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,stomach_pain,ulcers_on_tongue,ulcers on tongue,vomiting,vomiting,cough,cough,chest_pain,chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,stomach_pain,acidity,acidity,vomiting,vomiting,cough,cough,chest_pain,chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,stomach_pain,acidity,acidity,ulcers on tongue,ulcers_on_tongue,cough,cough,chest_pain,chest pain,,,,,,,,,,,,,,,,,,,,,,,
